status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,link,total_airframe_hrs,cycles,ground_casualties,crash_site_elevation,collision_casualties,location_n,lat,lng,fatilities,nothing,occupants
,1988-10-07,13:21,Ilyushin Il-14P,Shanxi Airlines,B-4218,6341406,1956,,Fatalities: 4 / Occupants: 4,Fatalities: 40 / Occupants: 44, 44 /  48, Destroyed, Written off (damaged beyond repair),2 km (1.3 mls) N of Linfen Air Base (   China), Initial climb (ICL),Domestic Non Scheduled Passenger,"Linfen Air Base, China","Linfen Air Base, China",,https://aviation-safety.net/database/record.php?id=19881007-0,,,Fatalities: 2,,,2 km (1.3 mls) N of Linfen Air Base ,36.08822,111.51962,44,/,48
,1988-01-18,22:17,Ilyushin Il-18D,China Southwest Airlines,B-222,187009901,1967,4 Ivchenko AI-20M,Fatalities: 10 / Occupants: 10,Fatalities: 98 / Occupants: 98, 108 /  108, Destroyed, Written off (damaged beyond repair),"5,7 km (3.6 mls) NW of Chongqing Baishiyi Airport (   China)", Approach (APR),Domestic Scheduled Passenger,"Beijing-Capital International Airport (PEK/ZBAA), China","Chongqing Baishiyi Airport, China",4146,https://aviation-safety.net/database/record.php?id=19880118-3,,,,,,"5,7 km (3.6 mls) NW of Chongqing Baishiyi Airport ",29.4794,106.370608,108,/,108
,1986-12-15,,Antonov An-24RV,CAAC,B-3413,37308907,1973,2 Ivchenko AI-24VT,Fatalities: 0 / Occupants: 7,Fatalities: 6 / Occupants: 37, 6 /  44, Damaged beyond repair,,"Lanzhou-Zhongchuan Airport (LHW) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Lanzhou-Zhongchuan Airport (LHW/ZLLL), China","Xian-Xiguan Airport (SIA/ZLXG), China",,https://aviation-safety.net/database/record.php?id=19861215-0,,,,,,Lanzhou-Zhongchuan Airport (LHW) ,36.515,103.62,6,/,44
,1985-01-18,,Antonov An-24V,CAAC,B-434,27308110,1972,,Fatalities: 6 / Occupants: 6,Fatalities: 32 / Occupants: 35, 38 /  41, Damaged beyond repair,,"near Jinan Airport (TNA) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Nanjing Dajiaochang Airport (NKG/ZSNJ), China","Jinan Airport (TNA/ZSTN), China",5109,https://aviation-safety.net/database/record.php?id=19850118-0,,,,,, Jinan Airport (TNA) ,36.857201,117.216003,38,/,41
,1983-09-14,09:34,Hawker Siddeley HS-121 Trident 2E,CAAC,B-264,2169,1975,3 Rolls-Royce Spey 512,Fatalities: 0 / Occupants: 6,Fatalities: 11 / Occupants: 100, 11 /  106, Damaged beyond repair,,"Guilin Airport (KWL) (   China) 
", Taxi (TXI),Domestic Scheduled Passenger,"Guilin-Qifengling Airport (KWL/ZGKL), China","Beijing-Capital International Airport (PEK/ZBAA), China",,https://aviation-safety.net/database/record.php?id=19830914-0,,,,,,Guilin Airport (KWL) ,25.23789,110.29002,11,/,106
,1982-04-26,ca. 16:45,Hawker Siddeley HS-121 Trident 2E,CAAC,B-266,2170,1975,3 Rolls-Royce Spey 512,Fatalities: 8 / Occupants: 8,Fatalities: 104 / Occupants: 104, 112 /  112, Destroyed, Written off (damaged beyond repair),"near Yangsuo (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Guilin-Qifengling Airport (KWL/ZGKL), China",3303,https://aviation-safety.net/database/record.php?id=19820426-0,,,,,, Yangsuo ,25.696778,99.28806,112,/,112
,1980-03-20,,Antonov An-24RV,CAAC,B-484,47309403,1974,2 Ivchenko AI-24VT,Fatalities: 7 / Occupants: 7,Fatalities: 19 / Occupants: 19, 26 /  26, Damaged beyond repair,,"near Changsha Airport (CSX) (   China) 
", Unknown (UNK),Domestic Scheduled Passenger,"Guiyang Airport (KWE/ZUGY), China","Changsha-Huanghua Airport (CSX/ZGHA), China",,https://aviation-safety.net/database/record.php?id=19800320-0,,,,,, Changsha Airport (CSX) ,28.196667,113.74596,26,/,26
,1976-01-21,,Antonov An-24RV,CAAC,B-492,47309409,1974,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: , 40 /  40, Damaged beyond repair,,"near Changsha-Huanghua Airport (CSX) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Changsha-Huanghua Airport (CSX/ZGHA), China",,https://aviation-safety.net/database/record.php?id=19760121-0,,,,,, Changsha-Huanghua Airport (CSX) ,28.196667,113.74596,40,/,40
,1973-01-14,,Ilyushin Il-14,CAAC,644, , ,,Fatalities: 7 / Occupants: 7,Fatalities: 22 / Occupants: 22, 29 /  29, Damaged beyond repair,,"near Guiyang (   China) 
", Unknown (UNK),Passenger,?,?,,https://aviation-safety.net/database/record.php?id=19730114-0,,,,,, Guiyang ,26.57242,106.69473,29,/,29
,1963-06-10,,Douglas C-47A-40-DL (DC-3),Union of Burma Airways, XY-ACS,9877,1944,2 Pratt & Whitney R-1830-92,Fatalities: 5 / Occupants: 5,Fatalities: 15 / Occupants: 15, 20 /  20, Damaged beyond repair,,"Mt. Kaolokung (   China) 
", Unknown (UNK),Domestic Scheduled Passenger,"Yangon-Mingaladon Airport (RGN/VYYY), Myanmar","Putao Airport (PBU/VYPT), Myanmar",,https://aviation-safety.net/database/record.php?id=19630610-0,,,,,,Mt. Kaolokung ,25.0453,102.70973,20,/,20
