status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,asn_home,fsf_home,join_fsf,contact_us,press_/_media,link,on_behalf_of,total_airframe_hrs,cycles,,investigating agency,status,duration,accident_number,download_report,ground_casualties,operating_for,leased_from,crash_site_elevation,collision_casualties
,Friday 31 July 1992,15:12,Yakovlev Yak-42D,China General Aviation Corp., B-2755, 4520422116644, 1991, 3 Lotarev D-36,Fatalities: 9 / Occupants: 10,Fatalities: 98 / Occupants: 116,Fatalities: 107 / Occupants: 126 , Destroyed, Written off (damaged beyond repair),"Nanking Airport (NKG) (   China) 
", Takeoff (TOF),Domestic Scheduled Passenger,"Nanjing Dajiaochang Airport (NKG/ZSNJ), China","Xiamen Airport (XMN/ZSAM), China",GP7552,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19920731-1,,,,,,,,,,,,, 15 m (49 feet) amsl ,
,Tuesday 2 October 1990,09:04,Boeing 757-21B,China Southern Airlines, B-2812, 24758/282, 1990-04-26  (5 months), 2 Rolls-Royce RB211-535E4,Fatalities: 0 / Occupants: 12,Fatalities: 46 / Occupants: 110,Fatalities: 46 / Occupants: 122 , Damaged beyond repair,,"Guangzhou-Baiyun Airport (CAN) (   China) 
", Standing (STD),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Shanghai-Hongqiao Airport (SHA/ZSSS), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19901002-4,,,,,,,,,,,,,,Fatalities: 82
,Tuesday 2 October 1990,09:04,Boeing 737-247,Xiamen Airlines, B-2510, 23189/1072, 1984-12-07  (5 years 10 months), 2 Pratt & Whitney JT8D-17A,Fatalities: 7 / Occupants: 9,Fatalities: 75 / Occupants: 93,Fatalities: 82 / Occupants: 102 , Destroyed, Written off (damaged beyond repair),"Guangzhou-Baiyun Airport (CAN) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Xiamen Airport (XMN/ZSAM), China","Guangzhou-Baiyun Airport (CAN/ZGGG), China",MF8301,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19901002-3,,,,,,,,,,,,,,Fatalities: 46
,Tuesday 15 August 1989,,Antonov An-24RV,China Eastern Airlines, B-3417, 37309006, 1973, 2 Ivchenko AI-24VT,Fatalities: 6 / Occupants: 6,Fatalities: 28 / Occupants: 34,Fatalities: 34 / Occupants: 40 , Damaged beyond repair,,"0,24 km (0.2 mls) from  Shanghai-Hongqiao Airport (SHA) (   China) 
", Takeoff (TOF),Domestic Scheduled Passenger,"Shanghai-Hongqiao Airport (SHA/ZSSS), China","Nanchang Xiangtang Airport (KHN), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19890815-1,,,,,,,,,,,,,,
,Monday 24 April 1989,,Xian Yunshuji Y-7,China Eastern Airlines, registration unknown, , ,,Fatalities: 0 / Occupants: ,Fatalities: 1 / Occupants: ,Fatalities: 1 / Occupants:  , Unknown,,"Fuzhou Yixu Airport (FOC) (   China) 
", Standing (STD),Domestic Scheduled Passenger,"Ningbo Airport (NGB/ZSNB), China","Xiamen Airport (XMN/ZSAM), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19890424-0,,,,,,,,,,,,,,
,Friday 7 October 1988,13:21,Ilyushin Il-14P,Shanxi Airlines, B-4218, 6341406, 1956,,Fatalities: 4 / Occupants: 4,Fatalities: 40 / Occupants: 44,Fatalities: 44 / Occupants: 48 , Destroyed, Written off (damaged beyond repair),"2 km (1.3 mls) N of Linfen Air Base (   China) 
", Initial climb (ICL),Domestic Non Scheduled Passenger,"Linfen Air Base, China","Linfen Air Base, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19881007-0,,,,,,,,,,Fatalities: 2,,,,
,Monday 18 January 1988,22:17,Ilyushin Il-18D,China Southwest Airlines, B-222, 187009901, 1967, 4 Ivchenko AI-20M,Fatalities: 10 / Occupants: 10,Fatalities: 98 / Occupants: 98,Fatalities: 108 / Occupants: 108 , Destroyed, Written off (damaged beyond repair),"5,7 km (3.6 mls) NW of Chongqing Baishiyi Airport (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Beijing-Capital International Airport (PEK/ZBAA), China","Chongqing Baishiyi Airport, China",4146,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19880118-3,,,,,,,,,,,,,,
,Monday 15 December 1986,,Antonov An-24RV,CAAC, B-3413, 37308907, 1973, 2 Ivchenko AI-24VT,Fatalities: 0 / Occupants: 7,Fatalities: 6 / Occupants: 37,Fatalities: 6 / Occupants: 44 , Damaged beyond repair,,"Lanzhou-Zhongchuan Airport (LHW) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Lanzhou-Zhongchuan Airport (LHW/ZLLL), China","Xian-Xiguan Airport (SIA/ZLXG), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19861215-0,,,,,,,,,,,,,,
,Friday 18 January 1985,,Antonov An-24V,CAAC, B-434, 27308110, 1972,,Fatalities: 6 / Occupants: 6,Fatalities: 32 / Occupants: 35,Fatalities: 38 / Occupants: 41 , Damaged beyond repair,,"near Jinan Airport (TNA) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Nanjing Dajiaochang Airport (NKG/ZSNJ), China","Jinan Airport (TNA/ZSTN), China",5109,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19850118-0,,,,,,,,,,,,,,
,Wednesday 14 September 1983,09:34,Hawker Siddeley HS-121 Trident 2E,CAAC, B-264, 2169, 1975, 3 Rolls-Royce Spey 512,Fatalities: 0 / Occupants: 6,Fatalities: 11 / Occupants: 100,Fatalities: 11 / Occupants: 106 , Damaged beyond repair,,"Guilin Airport (KWL) (   China) 
", Taxi (TXI),Domestic Scheduled Passenger,"Guilin-Qifengling Airport (KWL/ZGKL), China","Beijing-Capital International Airport (PEK/ZBAA), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19830914-0,,,,,,,,,,,,,,
